OTU_ID	Kingdom_RDP	Kingdom_BLAST	Kingdom_SINTAX	Kingdom_Consensus	Phylum_RDP	Phylum_BLAST	Phylum_SINTAX	Phylum_Consensus	Class_RDP	Class_BLAST	Class_SINTAX	Class_Consensus	Order_RDP	Order_BLAST	Order_SINTAX	Order_Consensus	Family_RDP	Family_BLAST	Family_SINTAX	Family_Consensus	Genus_RDP	Genus_BLAST	Genus_SINTAX	Genus_Consensus	Species_RDP	Species_BLAST	Species_SINTAX	Species_Consensus
OTU_236	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricales	Agaricales	Agaricales	Agaricales	Hymenogastraceae	Hymenogastraceae	Hymenogastraceae	Hymenogastraceae	Naucoria		Naucoria	Naucoria	Naucoria salicis			Naucoria salicis
OTU_237	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariales		Sordariales	Sordariales	Lasiosphaeriaceae		Lasiosphaeriaceae	Lasiosphaeriaceae	Podospora		Podospora	Podospora	Podospora sp 			Podospora sp 
OTU_238	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Hypocreales	Hypocreales	Hypocreales	Hypocreales	Stachybotryaceae	Stachybotryaceae	Stachybotryaceae	Stachybotryaceae	Myrothecium		Myrothecium	Myrothecium	Myrothecium sp 			Myrothecium sp 
OTU_239	Fungi	Fungi	Fungi	Fungi																								
OTU_240	Fungi		Fungi	Fungi																								
OTU_241	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Sordariomycetes	Sordariomycetes	Sordariomycetes	Sordariomycetes	Glomerellales	Glomerellales	Glomerellales	Glomerellales	Plectosphaerellaceae	Plectosphaerellaceae	Plectosphaerellaceae	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis	Gibellulopsis	Gibellulopsis	Gibellulopsis sp 			Gibellulopsis sp 
OTU_242	Fungi	Fungi	Fungi	Fungi	Ascomycota	Ascomycota	Ascomycota	Ascomycota	Pezizomycetes	Pezizomycetes	Pezizomycetes	Pezizomycetes	Pezizales	Pezizales	Pezizales	Pezizales	Ascobolaceae	Ascobolaceae	Ascobolaceae	Ascobolaceae								
OTU_243	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Thelephorales	Thelephorales	Thelephorales	Thelephorales	Thelephoraceae	Thelephoraceae	Thelephoraceae	Thelephoraceae	Pseudotomentella	Pseudotomentella	Pseudotomentella	Pseudotomentella				
OTU_244	Fungi	Fungi	Fungi	Fungi	Basidiomycota	Basidiomycota	Basidiomycota	Basidiomycota	Agaricomycetes	Agaricomycetes	Agaricomycetes	Agaricomycetes	Boletales	Boletales	Boletales	Boletales	Gyroporaceae	Gyroporaceae	Gyroporaceae	Gyroporaceae	Gyroporus	Gyroporus	Gyroporus	Gyroporus	Gyroporus castaneus			Gyroporus castaneus
OTU_245	Fungi	Fungi	Fungi	Fungi		Rozellomycota		Rozellomycota																				
OTU_246	Fungi	Fungi	Fungi	Fungi																								
